test,cost
new_cost: ,936
new_cost: ,324
new_cost: ,26
new_cost: ,634
new_cost: ,328
new_cost: ,326
new_cost: ,322
new_cost: ,322
new_cost: ,32
new_cost: ,26
new_cost: ,28
new_cost: ,30
new_cost: ,26
new_cost: ,26
new_cost: ,650
new_cost: ,352
new_cost: ,332
new_cost: ,38
new_cost: ,38
new_cost: ,30
new_cost: ,28
new_cost: ,28
new_cost: ,32
new_cost: ,28
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,26
new_cost: ,26
new_cost: ,336
new_cost: ,36
new_cost: ,26
