test,cost
new_cost: ,338
new_cost: ,38
new_cost: ,24
new_cost: ,620
new_cost: ,324
new_cost: ,324
new_cost: ,324
new_cost: ,374
new_cost: ,324
new_cost: ,60
new_cost: ,64
new_cost: ,62
new_cost: ,70
new_cost: ,72
new_cost: ,72
new_cost: ,38
new_cost: ,32
new_cost: ,34
new_cost: ,34
new_cost: ,38
new_cost: ,40
new_cost: ,340
new_cost: ,338
new_cost: ,332
new_cost: ,30
new_cost: ,30
new_cost: ,340
new_cost: ,340
new_cost: ,38
new_cost: ,40
new_cost: ,60
new_cost: ,56
new_cost: ,66
new_cost: ,66
new_cost: ,66
new_cost: ,54
new_cost: ,58
new_cost: ,64
new_cost: ,78
new_cost: ,78
new_cost: ,58
new_cost: ,52
new_cost: ,356
new_cost: ,62
new_cost: ,66
new_cost: ,62
new_cost: ,54
new_cost: ,54
new_cost: ,68
new_cost: ,70
new_cost: ,70
new_cost: ,68
new_cost: ,58
new_cost: ,56
new_cost: ,52
new_cost: ,52
new_cost: ,56
new_cost: ,54
new_cost: ,62
new_cost: ,54
new_cost: ,56
new_cost: ,64
new_cost: ,62
new_cost: ,68
new_cost: ,60
new_cost: ,54
new_cost: ,58
new_cost: ,60
new_cost: ,60
new_cost: ,38
new_cost: ,40
new_cost: ,42
new_cost: ,350
new_cost: ,352
new_cost: ,354
new_cost: ,356
new_cost: ,352
new_cost: ,346
new_cost: ,36
new_cost: ,30
new_cost: ,346
new_cost: ,348
new_cost: ,348
new_cost: ,348
new_cost: ,650
new_cost: ,344
new_cost: ,350
new_cost: ,36
new_cost: ,36
new_cost: ,48
new_cost: ,44
new_cost: ,52
new_cost: ,44
new_cost: ,44
new_cost: ,32
new_cost: ,36
new_cost: ,90
new_cost: ,90
new_cost: ,90
new_cost: ,90
new_cost: ,92
new_cost: ,40
new_cost: ,38
new_cost: ,34
new_cost: ,42
new_cost: ,344
new_cost: ,42
new_cost: ,34
new_cost: ,30
new_cost: ,28
new_cost: ,36
new_cost: ,46
new_cost: ,48
new_cost: ,36
new_cost: ,34
new_cost: ,30
new_cost: ,34
new_cost: ,42
new_cost: ,36
new_cost: ,54
new_cost: ,56
new_cost: ,54
new_cost: ,52
new_cost: ,366
new_cost: ,56
new_cost: ,44
new_cost: ,46
new_cost: ,56
new_cost: ,50
new_cost: ,46
new_cost: ,50
new_cost: ,52
new_cost: ,56
new_cost: ,46
new_cost: ,46
new_cost: ,60
new_cost: ,58
new_cost: ,58
new_cost: ,58
new_cost: ,52
new_cost: ,54
new_cost: ,60
new_cost: ,62
new_cost: ,62
new_cost: ,46
new_cost: ,48
new_cost: ,44
new_cost: ,50
new_cost: ,52
new_cost: ,356
new_cost: ,48
new_cost: ,48
new_cost: ,42
new_cost: ,36
new_cost: ,34
new_cost: ,40
new_cost: ,42
new_cost: ,44
new_cost: ,46
new_cost: ,648
new_cost: ,648
new_cost: ,654
new_cost: ,42
new_cost: ,42
new_cost: ,44
new_cost: ,44
new_cost: ,348
new_cost: ,646
new_cost: ,668
new_cost: ,636
new_cost: ,328
new_cost: ,330
new_cost: ,328
new_cost: ,326
new_cost: ,332
new_cost: ,334
new_cost: ,328
new_cost: ,338
new_cost: ,340
new_cost: ,338
new_cost: ,38
new_cost: ,46
new_cost: ,48
new_cost: ,50
new_cost: ,60
new_cost: ,48
new_cost: ,48
new_cost: ,46
new_cost: ,38
new_cost: ,36
new_cost: ,42
new_cost: ,350
new_cost: ,662
new_cost: ,346
new_cost: ,346
new_cost: ,940
new_cost: ,336
new_cost: ,338
new_cost: ,338
new_cost: ,348
new_cost: ,338
new_cost: ,338
new_cost: ,336
new_cost: ,336
new_cost: ,354
new_cost: ,354
new_cost: ,372
new_cost: ,378
new_cost: ,378
new_cost: ,362
new_cost: ,366
new_cost: ,360
new_cost: ,342
new_cost: ,50
new_cost: ,50
new_cost: ,48
new_cost: ,50
new_cost: ,50
new_cost: ,82
new_cost: ,400
new_cost: ,408
new_cost: ,400
new_cost: ,86
new_cost: ,402
new_cost: ,416
new_cost: ,684
new_cost: ,682
new_cost: ,364
new_cost: ,348
new_cost: ,356
new_cost: ,356
new_cost: ,352
new_cost: ,354
new_cost: ,356
new_cost: ,356
new_cost: ,358
new_cost: ,350
new_cost: ,46
new_cost: ,42
new_cost: ,60
new_cost: ,60
new_cost: ,60
new_cost: ,58
new_cost: ,40
new_cost: ,42
new_cost: ,40
new_cost: ,38
new_cost: ,30
new_cost: ,30
new_cost: ,38
new_cost: ,46
new_cost: ,52
new_cost: ,44
new_cost: ,44
new_cost: ,36
new_cost: ,36
new_cost: ,50
new_cost: ,52
new_cost: ,50
new_cost: ,50
new_cost: ,44
new_cost: ,44
new_cost: ,44
new_cost: ,642
new_cost: ,338
new_cost: ,30
new_cost: ,36
new_cost: ,40
new_cost: ,44
new_cost: ,40
new_cost: ,40
new_cost: ,36
new_cost: ,34
new_cost: ,38
new_cost: ,48
new_cost: ,50
new_cost: ,48
new_cost: ,48
new_cost: ,356
new_cost: ,346
new_cost: ,48
new_cost: ,44
new_cost: ,42
new_cost: ,48
new_cost: ,46
new_cost: ,44
new_cost: ,42
new_cost: ,32
new_cost: ,42
new_cost: ,342
new_cost: ,342
new_cost: ,372
new_cost: ,380
new_cost: ,388
new_cost: ,394
new_cost: ,394
new_cost: ,1224
new_cost: ,1224
new_cost: ,1226
new_cost: ,926
new_cost: ,330
new_cost: ,30
new_cost: ,34
new_cost: ,30
new_cost: ,38
new_cost: ,38
new_cost: ,46
new_cost: ,50
new_cost: ,42
new_cost: ,42
new_cost: ,50
new_cost: ,52
new_cost: ,40
new_cost: ,32
new_cost: ,28
new_cost: ,42
new_cost: ,42
new_cost: ,44
new_cost: ,46
new_cost: ,48
new_cost: ,48
new_cost: ,48
new_cost: ,46
new_cost: ,48
new_cost: ,48
new_cost: ,52
new_cost: ,52
new_cost: ,54
new_cost: ,1246
new_cost: ,1222
new_cost: ,932
new_cost: ,922
new_cost: ,356
new_cost: ,356
new_cost: ,362
new_cost: ,362
new_cost: ,362
new_cost: ,372
new_cost: ,372
new_cost: ,1232
new_cost: ,932
new_cost: ,938
new_cost: ,38
new_cost: ,30
new_cost: ,34
new_cost: ,46
new_cost: ,40
new_cost: ,38
new_cost: ,34
new_cost: ,36
new_cost: ,34
new_cost: ,36
new_cost: ,36
new_cost: ,32
new_cost: ,38
new_cost: ,32
new_cost: ,28
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,28
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,28
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,36
new_cost: ,34
new_cost: ,32
new_cost: ,36
new_cost: ,34
new_cost: ,32
new_cost: ,32
new_cost: ,34
new_cost: ,36
new_cost: ,42
new_cost: ,42
new_cost: ,40
new_cost: ,40
new_cost: ,40
new_cost: ,38
new_cost: ,38
new_cost: ,42
new_cost: ,34
new_cost: ,36
new_cost: ,1004
new_cost: ,1014
new_cost: ,714
new_cost: ,714
new_cost: ,662
new_cost: ,662
new_cost: ,664
new_cost: ,336
new_cost: ,340
new_cost: ,342
new_cost: ,350
new_cost: ,344
new_cost: ,356
new_cost: ,352
new_cost: ,354
new_cost: ,344
new_cost: ,348
new_cost: ,348
new_cost: ,346
new_cost: ,344
new_cost: ,342
new_cost: ,30
new_cost: ,30
new_cost: ,34
new_cost: ,34
new_cost: ,34
new_cost: ,36
new_cost: ,36
new_cost: ,32
new_cost: ,36
new_cost: ,40
new_cost: ,40
new_cost: ,42
new_cost: ,42
new_cost: ,38
new_cost: ,42
new_cost: ,50
new_cost: ,50
new_cost: ,44
new_cost: ,42
new_cost: ,32
new_cost: ,36
new_cost: ,38
new_cost: ,38
new_cost: ,38
new_cost: ,42
new_cost: ,50
new_cost: ,50
new_cost: ,50
new_cost: ,40
new_cost: ,42
new_cost: ,38
new_cost: ,44
new_cost: ,44
new_cost: ,44
new_cost: ,44
new_cost: ,44
new_cost: ,44
new_cost: ,44
new_cost: ,46
new_cost: ,44
new_cost: ,46
new_cost: ,46
new_cost: ,44
new_cost: ,44
new_cost: ,46
new_cost: ,38
new_cost: ,42
new_cost: ,42
new_cost: ,42
new_cost: ,40
new_cost: ,30
new_cost: ,30
new_cost: ,34
new_cost: ,32
new_cost: ,34
new_cost: ,32
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,32
new_cost: ,30
new_cost: ,32
new_cost: ,30
new_cost: ,28
new_cost: ,30
new_cost: ,48
new_cost: ,46
new_cost: ,50
