test,cost
new_cost: ,922
new_cost: ,622
new_cost: ,332
new_cost: ,54
new_cost: ,36
new_cost: ,928
new_cost: ,328
new_cost: ,28
new_cost: ,30
new_cost: ,24
new_cost: ,30
new_cost: ,36
new_cost: ,36
new_cost: ,30
new_cost: ,30
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,26
new_cost: ,26
new_cost: ,30
new_cost: ,36
new_cost: ,30
new_cost: ,28
new_cost: ,30
new_cost: ,30
new_cost: ,28
new_cost: ,28
new_cost: ,26
new_cost: ,24
new_cost: ,24
new_cost: ,28
new_cost: ,28
new_cost: ,32
new_cost: ,34
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,28
new_cost: ,26
new_cost: ,26
new_cost: ,24
new_cost: ,26
new_cost: ,30
new_cost: ,30
new_cost: ,32
new_cost: ,32
new_cost: ,38
new_cost: ,40
new_cost: ,42
new_cost: ,38
new_cost: ,30
new_cost: ,32
new_cost: ,38
