test,cost
new_cost: ,6078
new_cost: ,5784
new_cost: ,5784
new_cost: ,5784
new_cost: ,5496
new_cost: ,5496
new_cost: ,5198
new_cost: ,5198
new_cost: ,5198
new_cost: ,5200
new_cost: ,5206
new_cost: ,4944
new_cost: ,4648
new_cost: ,3748
new_cost: ,3746
new_cost: ,3746
new_cost: ,3748
new_cost: ,3748
new_cost: ,3448
new_cost: ,3448
new_cost: ,3154
new_cost: ,3156
new_cost: ,2854
new_cost: ,2854
new_cost: ,2852
new_cost: ,2552
new_cost: ,2552
new_cost: ,2554
new_cost: ,2554
new_cost: ,2232
new_cost: ,7298
new_cost: ,7298
new_cost: ,7026
new_cost: ,2232
new_cost: ,5828
new_cost: ,4886
new_cost: ,2230
new_cost: ,4592
new_cost: ,4588
new_cost: ,4000
new_cost: ,3702
new_cost: ,3704
new_cost: ,3146
new_cost: ,2232
new_cost: ,2198
new_cost: ,2200
new_cost: ,2200
new_cost: ,2218
new_cost: ,2852
new_cost: ,2224
new_cost: ,2224
new_cost: ,1332
new_cost: ,1920
new_cost: ,1922
new_cost: ,1922
new_cost: ,1316
new_cost: ,1316
new_cost: ,1316
new_cost: ,1314
new_cost: ,1316
new_cost: ,1044
new_cost: ,1044
new_cost: ,1044
new_cost: ,1062
new_cost: ,1044
new_cost: ,1040
new_cost: ,716
new_cost: ,716
new_cost: ,714
new_cost: ,722
new_cost: ,738
new_cost: ,738
new_cost: ,738
new_cost: ,740
new_cost: ,744
new_cost: ,740
new_cost: ,726
new_cost: ,724
new_cost: ,722
new_cost: ,722
new_cost: ,720
new_cost: ,720
new_cost: ,716
new_cost: ,722
new_cost: ,712
new_cost: ,706
new_cost: ,706
new_cost: ,706
new_cost: ,706
new_cost: ,706
new_cost: ,706
new_cost: ,706
new_cost: ,710
new_cost: ,710
new_cost: ,714
new_cost: ,706
new_cost: ,710
new_cost: ,690
new_cost: ,692
new_cost: ,392
new_cost: ,388
new_cost: ,388
new_cost: ,386
new_cost: ,382
new_cost: ,382
new_cost: ,382
new_cost: ,396
new_cost: ,396
new_cost: ,386
new_cost: ,386
new_cost: ,386
new_cost: ,384
new_cost: ,380
new_cost: ,390
new_cost: ,390
new_cost: ,390
new_cost: ,390
new_cost: ,390
new_cost: ,380
new_cost: ,380
new_cost: ,380
new_cost: ,380
new_cost: ,382
new_cost: ,382
new_cost: ,382
new_cost: ,382
new_cost: ,380
new_cost: ,380
new_cost: ,380
new_cost: ,386
new_cost: ,386
new_cost: ,386
new_cost: ,388
new_cost: ,394
new_cost: ,394
new_cost: ,390
new_cost: ,390
new_cost: ,390
new_cost: ,390
new_cost: ,388
new_cost: ,386
new_cost: ,386
new_cost: ,386
new_cost: ,386
new_cost: ,388
new_cost: ,388
new_cost: ,390
new_cost: ,388
new_cost: ,388
new_cost: ,388
new_cost: ,394
new_cost: ,396
new_cost: ,396
new_cost: ,394
new_cost: ,398
new_cost: ,98
new_cost: ,96
new_cost: ,96
new_cost: ,94
new_cost: ,94
new_cost: ,96
new_cost: ,92
new_cost: ,92
new_cost: ,94
new_cost: ,94
new_cost: ,94
new_cost: ,84
new_cost: ,84
new_cost: ,84
new_cost: ,84
new_cost: ,86
new_cost: ,86
new_cost: ,90
new_cost: ,80
new_cost: ,80
new_cost: ,80
new_cost: ,82
new_cost: ,80
new_cost: ,86
new_cost: ,90
new_cost: ,92
new_cost: ,90
new_cost: ,90
