test,cost
new_cost: ,1220
new_cost: ,634
new_cost: ,326
new_cost: ,32
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
