test,cost
new_cost: ,624
new_cost: ,624
new_cost: ,624
new_cost: ,324
new_cost: ,324
new_cost: ,324
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,22
new_cost: ,22
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
