test,cost
new_cost: ,624
new_cost: ,624
new_cost: ,624
new_cost: ,324
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
