test,cost
new_cost: ,346
new_cost: ,48
new_cost: ,48
new_cost: ,48
new_cost: ,48
new_cost: ,48
new_cost: ,48
new_cost: ,48
new_cost: ,46
new_cost: ,46
new_cost: ,46
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
