test,cost
new_cost: ,628
new_cost: ,328
new_cost: ,328
new_cost: ,326
new_cost: ,326
new_cost: ,322
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,24
