test,cost
new_cost: ,1220
new_cost: ,1220
new_cost: ,920
new_cost: ,624
new_cost: ,624
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
