test,cost
new_cost: ,1220
new_cost: ,922
new_cost: ,922
new_cost: ,626
new_cost: ,328
new_cost: ,38
new_cost: ,36
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,32
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
