test,cost
new_cost: ,338
new_cost: ,338
new_cost: ,338
new_cost: ,44
new_cost: ,42
new_cost: ,38
new_cost: ,38
new_cost: ,38
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
new_cost: ,20
