test,cost
new_cost: ,1220
new_cost: ,648
new_cost: ,328
new_cost: ,64
new_cost: ,36
new_cost: ,36
new_cost: ,36
new_cost: ,32
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,30
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,26
new_cost: ,26
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
