test,cost
new_cost: ,7284
new_cost: ,6986
new_cost: ,6986
new_cost: ,6414
new_cost: ,5832
new_cost: ,5830
new_cost: ,5520
new_cost: ,4632
new_cost: ,4334
new_cost: ,4332
new_cost: ,4332
new_cost: ,3116
new_cost: ,2840
new_cost: ,2254
new_cost: ,2244
new_cost: ,2244
new_cost: ,1938
new_cost: ,1614
new_cost: ,1614
new_cost: ,1614
new_cost: ,1614
new_cost: ,1614
new_cost: ,1614
new_cost: ,1316
new_cost: ,1292
new_cost: ,1292
new_cost: ,1292
new_cost: ,1292
new_cost: ,1282
new_cost: ,1282
new_cost: ,1272
new_cost: ,1272
new_cost: ,1272
new_cost: ,1272
new_cost: ,1270
new_cost: ,1270
new_cost: ,1004
new_cost: ,1004
new_cost: ,1004
new_cost: ,1004
new_cost: ,1004
new_cost: ,1004
new_cost: ,1004
new_cost: ,1004
new_cost: ,1004
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,1002
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,980
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,682
new_cost: ,680
new_cost: ,680
new_cost: ,394
