test,cost
random_try_0,47977967
random_try_1,52173853
random_try_2,66724923
random_try_3,65236913
random_try_4,69103965
random_try_5,62653323
random_try_6,69280861
random_try_7,61911369
random_try_8,53347747
random_try_9,60581519
random_try_10,56771469
random_try_11,64927357
random_try_12,61431383
random_try_13,59937041
random_try_14,61719517
random_try_15,47153905
random_try_16,55498753
random_try_17,56390537
random_try_18,64002873
random_try_19,52430835
random_try_20,48429907
random_try_21,53283795
random_try_22,60698599
random_try_23,47748177
random_try_24,53669125
random_try_25,58017339
random_try_26,51039035
random_try_27,67247115
random_try_28,62596839
random_try_29,55374017
random_try_30,57748651
random_try_31,45685233
random_try_32,49766769
random_try_33,55856751
random_try_34,56030809
