test,cost
random2D_try_0,39530
random2D_try_1,41932
random2D_try_2,63320
random2D_try_3,17806
random2D_try_4,12422
random2D_try_5,92256
random2D_try_6,64236
random2D_try_7,59118
random2D_try_8,64812
random2D_try_9,47388
random2D_try_0,76880
random2D_try_1,101614
random2D_try_2,51284
random2D_try_3,28992
random2D_try_4,57302
random2D_try_5,17852
random2D_try_6,39220
random2D_try_7,43748
random2D_try_8,98278
random2D_try_9,135934
random2D_try_0,8182
random2D_try_1,26294
random2D_try_2,58188
random2D_try_3,9396
random2D_try_4,59726
random2D_try_5,57876
random2D_try_6,68430
random2D_try_7,54892
random2D_try_8,69108
random2D_try_9,38330
