net,cost
netlist_1,247376
netlist_1,265640
netlist_1,275446
netlist_1,288108
netlist_1,203176
netlist_1,278242
netlist_1,325612
netlist_1,375738
netlist_1,112722
netlist_1,184600
netlist_1,218148
netlist_1,399018
netlist_1,201790
netlist_1,68436
netlist_1,55492
netlist_1,98066
netlist_1,218166
netlist_1,194894
netlist_1,51930
netlist_1,511722
netlist_1,128658
netlist_1,230330
netlist_1,99396
netlist_1,214678
netlist_1,359582
netlist_1,184714
netlist_1,507408
netlist_1,119268
netlist_1,215816
netlist_1,313052
netlist_1,252678
netlist_1,516092
netlist_1,158506
netlist_1,269028
netlist_1,378322
netlist_1,84476
netlist_1,194028
netlist_1,399282
netlist_1,216080
netlist_1,287046
netlist_1,243746
netlist_1,858694
netlist_1,346628
netlist_1,273548
netlist_1,571202
netlist_1,61314
netlist_1,417544
netlist_1,515986
netlist_1,257506
netlist_1,142278
netlist_1,205820
netlist_1,427528
netlist_1,177180
netlist_1,575724
netlist_1,177384
netlist_1,201714
netlist_1,564858
netlist_1,491696
netlist_1,255310
netlist_1,664966
netlist_1,553100
netlist_1,464864
netlist_1,486608
netlist_1,188672
netlist_1,142918
netlist_1,91824
netlist_1,224492
netlist_1,144734
netlist_1,474556
netlist_1,290964
netlist_1,505612
netlist_1,201628
netlist_1,64334
netlist_1,133686
netlist_1,281746
netlist_1,268188
netlist_1,242364
netlist_1,191134
netlist_1,319586
netlist_1,733446
netlist_1,135694
netlist_1,31650
netlist_1,183742
netlist_1,167540
netlist_1,159136
netlist_1,198718
netlist_1,675100
netlist_1,378482
netlist_1,214536
netlist_1,450892
netlist_1,125112
netlist_1,106944
netlist_1,263652
netlist_1,202022
netlist_1,496108
netlist_1,253778
netlist_1,197226
netlist_1,200190
netlist_1,377838
netlist_1,275602
netlist_2,481703
netlist_2,490625
netlist_2,333175
netlist_2,901145
netlist_2,348771
netlist_2,576635
netlist_2,643309
netlist_2,360295
netlist_2,370131
netlist_2,257295
netlist_2,423775
netlist_2,221985
netlist_2,377043
netlist_2,420309
netlist_2,311825
netlist_2,146247
netlist_2,462059
netlist_2,321533
netlist_2,499313
netlist_2,676723
netlist_2,527345
netlist_2,160393
netlist_2,126277
netlist_2,782391
netlist_2,471263
netlist_2,418529
netlist_2,409295
netlist_2,564717
netlist_2,255311
netlist_2,995579
netlist_2,485289
netlist_2,250027
netlist_2,609993
netlist_2,509985
netlist_2,164077
netlist_2,375983
netlist_2,273819
netlist_2,358231
netlist_2,479295
netlist_2,342613
netlist_2,346075
netlist_2,556321
netlist_2,252945
netlist_2,273451
netlist_2,373351
netlist_2,417807
netlist_2,1007587
netlist_2,455495
netlist_2,455149
netlist_2,251919
netlist_2,449125
netlist_2,181649
netlist_2,378455
netlist_2,418233
netlist_2,198781
netlist_2,103343
netlist_2,388699
netlist_2,152195
netlist_2,937909
netlist_2,337519
netlist_2,594229
netlist_2,612445
netlist_2,239699
netlist_2,518977
netlist_2,228445
netlist_2,465231
netlist_2,550047
netlist_2,108903
netlist_2,503305
netlist_2,245793
netlist_2,287341
netlist_2,156463
netlist_2,364917
netlist_2,258171
netlist_2,348981
netlist_2,373687
netlist_2,202051
netlist_2,44919
netlist_2,245235
netlist_2,93271
netlist_2,314633
netlist_2,852747
netlist_2,617033
netlist_2,302415
netlist_2,244037
netlist_2,165281
netlist_2,241069
netlist_2,572863
netlist_2,408907
netlist_2,433639
netlist_2,316719
netlist_2,435471
netlist_2,405251
netlist_2,328765
netlist_2,650591
netlist_2,376589
netlist_2,293527
netlist_2,161467
netlist_2,558903
netlist_2,392537
netlist_3,465888
netlist_3,579402
netlist_3,509644
netlist_3,574364
netlist_3,488438
netlist_3,824054
netlist_3,722714
netlist_3,428130
netlist_3,907328
netlist_3,422960
netlist_3,321548
netlist_3,372238
netlist_3,543678
netlist_3,314972
netlist_3,393122
netlist_3,586148
netlist_3,350246
netlist_3,910176
netlist_3,812494
netlist_3,446906
netlist_3,518840
netlist_3,650516
netlist_3,621920
netlist_3,876666
netlist_3,684424
netlist_3,565096
netlist_3,664388
netlist_3,944778
netlist_3,400958
netlist_3,657896
netlist_3,382086
netlist_3,671926
netlist_3,414538
netlist_3,453422
netlist_3,376096
netlist_3,998180
netlist_3,392676
netlist_3,751384
netlist_3,559464
netlist_3,595228
netlist_3,260810
netlist_3,726134
netlist_3,753554
netlist_3,531342
netlist_3,912350
netlist_3,811064
netlist_3,417132
netlist_3,366384
netlist_3,487744
netlist_3,480646
netlist_3,515736
netlist_3,630636
netlist_3,315924
netlist_3,626224
netlist_3,661714
netlist_3,987896
netlist_3,817442
netlist_3,464100
netlist_3,576772
netlist_3,513788
netlist_3,651180
netlist_3,372738
netlist_3,409804
netlist_3,642198
netlist_3,482758
netlist_3,545442
netlist_3,525994
netlist_3,557928
netlist_3,517688
netlist_3,487390
netlist_3,326684
netlist_3,454078
netlist_3,159910
netlist_3,410876
netlist_3,494842
netlist_3,482700
netlist_3,515300
netlist_3,848880
netlist_3,1020808
netlist_3,517294
netlist_3,538224
netlist_3,488748
netlist_3,479008
netlist_3,558690
netlist_3,610128
netlist_3,606816
netlist_3,686216
netlist_3,633474
netlist_3,318532
netlist_3,854782
netlist_3,597454
netlist_3,583802
netlist_3,440664
netlist_3,339538
netlist_3,279254
netlist_3,649778
netlist_3,954542
netlist_3,632142
netlist_3,339508
netlist_3,728396
