net,cost
netlist_1,35912
netlist_1,10604
netlist_1,27174
netlist_1,22350
netlist_1,33216
netlist_1,131414
netlist_1,23860
netlist_1,53694
netlist_1,19934
netlist_1,16624
netlist_1,38366
netlist_1,54878
netlist_1,64272
netlist_1,24446
netlist_1,73846
netlist_1,33208
netlist_1,107914
netlist_1,34090
netlist_1,92854
netlist_1,138064
netlist_1,19936
netlist_1,46782
netlist_1,23256
netlist_1,45252
netlist_1,65746
netlist_1,106164
netlist_1,55804
netlist_1,27788
netlist_1,44062
netlist_1,112406
netlist_1,36516
netlist_1,43456
netlist_1,51616
netlist_1,107014
netlist_1,60312
netlist_1,46152
netlist_1,35044
netlist_1,52496
netlist_1,53386
netlist_1,126300
netlist_1,40118
netlist_1,50070
netlist_1,69374
netlist_1,40172
netlist_1,19050
netlist_1,49782
netlist_1,64846
netlist_1,107892
netlist_1,79304
netlist_1,48900
netlist_1,30484
netlist_1,36812
netlist_1,28674
netlist_1,41948
netlist_1,36492
netlist_1,53422
netlist_1,67554
netlist_1,57908
netlist_1,16332
netlist_1,9984
netlist_1,19952
netlist_1,7276
netlist_1,38030
netlist_1,28050
netlist_1,103380
netlist_1,45856
netlist_1,66944
netlist_1,62088
netlist_1,66640
netlist_1,147660
netlist_1,62422
netlist_1,108522
netlist_1,50686
netlist_1,53446
netlist_1,78406
netlist_1,61518
netlist_1,41954
netlist_1,28690
netlist_1,78102
netlist_1,38018
netlist_1,89278
netlist_1,15734
netlist_1,43452
netlist_1,119082
netlist_1,110614
netlist_1,38348
netlist_1,26290
netlist_1,53664
netlist_1,106142
netlist_1,75962
netlist_1,40756
netlist_1,48870
netlist_1,74442
netlist_1,73606
netlist_1,40124
netlist_1,63022
netlist_1,87434
netlist_1,22040
netlist_1,52482
netlist_1,63676
netlist_1,47960
netlist_1,84412
netlist_1,54264
netlist_1,12710
netlist_1,41342
netlist_1,16028
netlist_1,58810
netlist_1,51296
netlist_1,70884
netlist_1,66678
netlist_1,35604
netlist_1,29876
netlist_1,83524
netlist_1,44364
netlist_1,58526
netlist_1,59114
netlist_1,42242
netlist_1,48570
netlist_1,21140
netlist_1,110614
netlist_1,40718
netlist_1,18728
netlist_1,51596
netlist_1,35936
netlist_1,16932
netlist_1,27448
netlist_1,82010
netlist_1,44372
netlist_1,95894
netlist_1,56702
netlist_1,44976
netlist_1,65162
netlist_1,65746
netlist_1,68484
netlist_1,23248
netlist_1,77170
netlist_1,18154
netlist_1,46138
netlist_1,44634
netlist_1,63976
netlist_1,47348
netlist_1,95888
netlist_1,38594
netlist_1,16942
netlist_1,44344
netlist_1,40426
netlist_1,77768
netlist_1,32876
netlist_1,43474
netlist_1,38310
netlist_1,23250
netlist_1,35610
netlist_1,31986
netlist_1,77814
netlist_1,104250
netlist_1,142264
netlist_1,24764
netlist_1,79902
netlist_1,43162
netlist_1,82898
netlist_1,40768
netlist_1,44644
netlist_1,108534
netlist_1,122354
netlist_1,32002
netlist_1,73254
netlist_1,20844
netlist_1,40726
netlist_1,13020
netlist_1,46460
netlist_1,147698
netlist_1,80188
netlist_1,39794
netlist_1,30798
netlist_1,55812
netlist_1,11796
netlist_1,34698
netlist_1,56704
netlist_1,31090
netlist_1,15112
netlist_1,47062
netlist_1,86534
netlist_1,67238
netlist_1,21434
netlist_1,22342
netlist_1,56692
netlist_1,91378
netlist_1,89814
netlist_1,30200
netlist_1,60928
netlist_1,42244
netlist_1,79036
netlist_1,16028
netlist_1,98548
netlist_1,15128
netlist_1,20540
netlist_1,106120
netlist_1,30184
netlist_1,61202
netlist_1,40138
netlist_1,76558
netlist_1,48588
netlist_1,35902
netlist_1,48844
netlist_1,44042
netlist_1,44378
netlist_1,9992
netlist_1,70852
netlist_1,38932
netlist_1,45826
netlist_1,45244
netlist_1,70270
netlist_1,117204
netlist_1,35004
netlist_1,55180
netlist_1,44044
netlist_1,42826
netlist_1,26896
netlist_1,35932
netlist_1,63310
netlist_1,13312
netlist_1,38918
netlist_1,69356
netlist_1,35312
netlist_1,22054
netlist_1,51598
netlist_1,93462
netlist_1,34388
netlist_1,42864
netlist_1,45266
netlist_1,58518
netlist_1,49466
netlist_1,10928
netlist_1,54268
netlist_1,33216
netlist_1,37112
netlist_1,31376
netlist_1,79904
netlist_1,36828
netlist_1,61518
netlist_1,12096
netlist_1,32008
netlist_1,38644
netlist_1,15728
netlist_1,20854
netlist_1,58796
netlist_1,48870
netlist_1,70548
netlist_1,16322
netlist_1,97338
netlist_1,84716
netlist_1,41044
netlist_1,11788
netlist_1,65428
netlist_1,43146
netlist_1,19348
netlist_1,43144
netlist_1,42848
netlist_1,35926
netlist_1,50372
netlist_1,48548
netlist_1,46450
netlist_1,45568
netlist_1,90132
netlist_1,72392
netlist_1,70558
netlist_1,18136
netlist_1,162468
netlist_1,64842
netlist_1,35650
netlist_1,97972
netlist_1,24456
netlist_1,74460
netlist_1,31388
netlist_1,13902
netlist_1,23574
netlist_1,51276
netlist_1,55772
netlist_1,34100
netlist_1,74192
netlist_1,38940
netlist_1,53384
netlist_1,66340
netlist_1,12704
netlist_1,49170
netlist_1,72656
netlist_1,88042
netlist_1,9090
netlist_1,5164
netlist_1,66956
netlist_1,84130
netlist_1,34122
netlist_1,4244
netlist_1,79038
netlist_1,22388
netlist_1,33798
netlist_1,62744
netlist_1,44962
netlist_1,68756
netlist_1,89852
netlist_1,37084
netlist_1,23562
netlist_1,38008
netlist_1,42538
netlist_1,60906
netlist_1,65190
netlist_1,70556
netlist_1,94658
