net,cost
netlist_1,118964
netlist_1,183738
netlist_1,423154
netlist_1,464122
netlist_1,269558
netlist_1,214194
netlist_1,279798
netlist_1,66470
netlist_1,910052
netlist_1,164310
netlist_1,380842
netlist_1,259136
netlist_1,81670
netlist_1,93052
netlist_1,343524
netlist_1,325228
netlist_1,264742
netlist_1,435226
netlist_1,200194
netlist_1,376340
netlist_1,263452
netlist_1,243388
netlist_1,216628
netlist_1,291432
netlist_1,370908
netlist_1,211652
netlist_1,48732
netlist_1,586814
netlist_1,431546
netlist_1,468142
netlist_1,442202
netlist_1,234892
netlist_1,271054
netlist_1,257350
netlist_1,302918
netlist_1,252512
netlist_1,216072
netlist_1,544098
netlist_1,266916
netlist_1,154064
netlist_1,236370
netlist_1,67502
netlist_1,577454
netlist_1,168336
netlist_1,354430
netlist_1,362234
netlist_1,210492
netlist_1,289570
netlist_1,251496
netlist_1,313120
netlist_1,190984
netlist_1,59614
netlist_1,276008
netlist_1,280350
netlist_1,374162
netlist_1,121472
netlist_1,336078
netlist_1,349202
netlist_1,166098
netlist_1,328028
netlist_1,328370
netlist_1,438252
netlist_1,151582
netlist_1,406380
netlist_1,663220
netlist_1,32202
netlist_1,282304
netlist_1,291686
netlist_1,191502
netlist_1,451618
netlist_1,164360
netlist_1,262698
netlist_1,110692
netlist_1,129056
netlist_1,385760
netlist_1,214768
netlist_1,125222
netlist_1,50772
netlist_1,392178
netlist_1,98450
netlist_1,22632
netlist_1,135200
netlist_1,245974
netlist_1,81368
netlist_1,45204
netlist_1,443044
netlist_1,189736
netlist_1,209728
netlist_1,459442
netlist_1,212378
netlist_1,232366
netlist_1,465878
netlist_1,55462
netlist_1,82840
netlist_1,82608
netlist_1,274848
netlist_1,354232
netlist_1,318122
netlist_1,316606
netlist_1,174738
