net,cost
netlist_1,614090
netlist_1,358298
netlist_1,127380
netlist_1,105618
netlist_1,186572
netlist_1,215552
netlist_1,460344
netlist_1,165410
netlist_1,451058
netlist_1,282286
netlist_1,281328
netlist_1,342134
netlist_1,167760
netlist_1,33500
netlist_1,182648
netlist_1,317378
netlist_1,454988
netlist_1,223544
netlist_1,99968
netlist_1,149720
netlist_1,315830
netlist_1,485224
netlist_1,53460
netlist_1,178866
netlist_1,505700
netlist_1,85656
netlist_1,118626
netlist_1,182574
netlist_1,119316
netlist_1,291984
netlist_1,210616
netlist_1,89816
netlist_1,97282
netlist_1,339214
netlist_1,147114
netlist_1,72282
netlist_1,267868
netlist_1,335844
netlist_1,359490
netlist_1,505260
netlist_1,285982
netlist_1,51788
netlist_1,120570
netlist_1,443940
netlist_1,354972
netlist_1,99140
netlist_1,249882
netlist_1,386522
netlist_1,538406
netlist_1,146830
netlist_1,322878
netlist_1,323508
netlist_1,316814
netlist_1,57232
netlist_1,126080
netlist_1,186766
netlist_1,573788
netlist_1,277528
netlist_1,308970
netlist_1,103634
netlist_1,485928
netlist_1,379278
netlist_1,269784
netlist_1,149970
netlist_1,30258
netlist_1,579192
netlist_1,243512
netlist_1,90622
netlist_1,608494
netlist_1,156122
netlist_1,65532
netlist_1,199672
netlist_1,221036
netlist_1,129486
netlist_1,182056
netlist_1,454030
netlist_1,321786
netlist_1,302096
netlist_1,88466
netlist_1,765680
netlist_1,687866
netlist_1,226888
netlist_1,467634
netlist_1,248096
netlist_1,226352
netlist_1,508372
netlist_1,67086
netlist_1,181718
netlist_1,124944
netlist_1,133358
netlist_1,353302
netlist_1,450160
netlist_1,380836
netlist_1,32332
netlist_1,212542
netlist_1,299592
netlist_1,261728
netlist_1,204162
netlist_1,383742
netlist_1,377978
