net,cost
netlist_1,82360
netlist_1,90078
netlist_1,229758
netlist_1,138208
netlist_1,322508
netlist_1,120956
netlist_1,203988
netlist_1,206574
netlist_1,486828
netlist_1,511374
netlist_1,138268
netlist_1,186124
netlist_1,128276
netlist_1,188298
netlist_1,389924
netlist_1,416690
netlist_1,187066
netlist_1,464060
netlist_1,283512
netlist_1,174618
netlist_1,407386
netlist_1,136404
netlist_1,216354
netlist_1,417036
netlist_1,144954
netlist_1,228188
netlist_1,483182
netlist_1,162518
netlist_1,555580
netlist_1,56578
netlist_1,150968
netlist_1,119198
netlist_1,203728
netlist_1,210600
netlist_1,378894
netlist_1,452588
netlist_1,515532
netlist_1,276908
netlist_1,197710
netlist_1,437912
netlist_1,304832
netlist_1,85400
netlist_1,254110
netlist_1,191232
netlist_1,206606
netlist_1,476454
netlist_1,208170
netlist_1,190290
netlist_1,262392
netlist_1,471076
netlist_1,55716
netlist_1,249240
netlist_1,773486
netlist_1,543616
netlist_1,172898
netlist_1,215326
netlist_1,220208
netlist_1,107694
netlist_1,239298
netlist_1,288890
netlist_1,241034
netlist_1,541298
netlist_1,81576
netlist_1,378570
netlist_1,167668
netlist_1,402058
netlist_1,531038
netlist_1,164946
netlist_1,237418
netlist_1,447232
netlist_1,416166
netlist_1,233644
netlist_1,329134
netlist_1,86514
netlist_1,363326
netlist_1,240058
netlist_1,484684
netlist_1,209294
netlist_1,201536
netlist_1,296818
netlist_1,110656
netlist_1,586664
netlist_1,114544
netlist_1,266340
netlist_1,336454
netlist_1,123538
netlist_1,293910
netlist_1,490942
netlist_1,94066
netlist_1,171944
netlist_1,95144
netlist_1,348138
netlist_1,237374
netlist_1,69160
netlist_1,276530
netlist_1,360704
netlist_1,134682
netlist_1,136398
netlist_1,257252
netlist_1,77386
