net,cost
netlist_2,55
netlist_2,43
netlist_2,43
netlist_2,55
netlist_2,55
netlist_2,55
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,55
netlist_2,43
netlist_2,41
netlist_2,51
netlist_2,43
netlist_2,43
netlist_2,55
netlist_2,45
netlist_2,55
netlist_2,53
netlist_2,43
netlist_2,43
netlist_2,53
netlist_2,53
netlist_2,53
netlist_2,45
netlist_2,51
netlist_2,43
netlist_2,43
netlist_2,53
netlist_2,43
netlist_2,41
netlist_2,59
netlist_2,43
netlist_2,43
netlist_2,53
netlist_2,45
netlist_2,53
