net,cost
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,20
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,20
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,20
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,20
netlist_1,24
netlist_1,22
netlist_1,20
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,20
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_2,45
netlist_2,39
netlist_2,45
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,45
netlist_2,45
netlist_2,41
netlist_2,43
netlist_2,45
netlist_2,45
netlist_2,41
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,45
netlist_2,41
netlist_2,45
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,45
netlist_2,45
netlist_2,45
netlist_2,41
netlist_2,43
netlist_2,41
netlist_2,43
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,41
netlist_2,45
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,45
netlist_2,43
netlist_2,39
netlist_2,43
netlist_2,41
netlist_2,41
netlist_2,43
netlist_2,43
netlist_2,45
netlist_2,39
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,45
netlist_2,45
netlist_2,39
netlist_2,39
netlist_2,39
netlist_2,43
netlist_2,39
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,39
netlist_2,43
netlist_2,45
netlist_2,41
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,39
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,43
netlist_2,41
netlist_2,43
netlist_2,41
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,41
netlist_2,41
netlist_2,45
netlist_2,39
netlist_2,43
netlist_2,43
netlist_2,45
netlist_3,64
netlist_3,64
netlist_3,60
netlist_3,64
netlist_3,60
netlist_3,58
netlist_3,62
netlist_3,60
netlist_3,62
netlist_3,62
netlist_3,62
netlist_3,58
netlist_3,62
netlist_3,64
netlist_3,66
netlist_3,56
netlist_3,60
netlist_3,64
netlist_3,62
netlist_3,64
netlist_3,60
netlist_3,66
netlist_3,62
netlist_3,60
netlist_3,60
netlist_3,64
netlist_3,62
netlist_3,56
netlist_3,62
netlist_3,58
netlist_3,66
netlist_3,64
netlist_3,66
netlist_3,62
netlist_3,60
netlist_3,58
netlist_3,64
netlist_3,60
netlist_3,64
netlist_3,60
netlist_3,62
netlist_3,66
netlist_3,62
netlist_3,62
netlist_3,62
netlist_3,62
netlist_3,66
netlist_3,58
netlist_3,62
netlist_3,58
netlist_3,64
netlist_3,66
netlist_3,60
netlist_3,58
netlist_3,64
netlist_3,62
netlist_3,62
netlist_3,62
netlist_3,60
netlist_3,68
netlist_3,60
netlist_3,62
netlist_3,60
netlist_3,62
netlist_3,66
netlist_3,64
netlist_3,68
netlist_3,62
netlist_3,62
netlist_3,58
netlist_3,62
netlist_3,60
netlist_3,60
netlist_3,64
netlist_3,66
netlist_3,62
netlist_3,64
netlist_3,56
netlist_3,64
netlist_3,62
netlist_3,58
netlist_3,58
netlist_3,60
netlist_3,64
netlist_3,60
netlist_3,64
netlist_3,62
netlist_3,60
netlist_3,68
netlist_3,58
netlist_3,60
netlist_3,62
netlist_3,62
netlist_3,62
netlist_3,58
netlist_3,60
netlist_3,58
netlist_3,64
netlist_3,62
netlist_3,64
