net,cost
netlist_1,255606
netlist_1,511202
netlist_1,399964
netlist_1,530516
netlist_1,360184
netlist_1,344464
netlist_1,224486
netlist_1,225308
netlist_1,311562
netlist_1,268524
netlist_1,465006
netlist_1,209290
netlist_1,113198
netlist_1,162348
netlist_2,296203
netlist_2,327059
netlist_2,355921
netlist_2,168297
netlist_2,256117
netlist_2,928381
netlist_2,402645
netlist_2,254807
netlist_2,583757
netlist_2,457129
netlist_2,367305
netlist_2,329395
netlist_2,541229
netlist_2,332469
netlist_3,457598
netlist_3,543152
netlist_3,724936
netlist_3,216160
netlist_3,800168
netlist_3,929976
netlist_3,511744
netlist_3,386182
netlist_3,248142
netlist_3,586340
netlist_3,936024
netlist_3,228814
netlist_3,799948
netlist_3,889268
