test,cost
sort_basic_annealing,22
sort_reverse_annealing,36
sort_short_annealing,38
sort_long_annealing,26
sort_least-connections_annealing,36
sort_most-connections_annealing,50
sort_sum-lowest_annealing,42
sort_sum-highest_annealing,26
sort_basic_annealing,30
sort_reverse_annealing,24
sort_basic_annealing,50
sort_basic_annealing,44
sort_basic_annealing,54
sort_basic_annealing,28
sort_basic_annealing,46
sort_basic_annealing,26
sort_basic_annealing,60
sort_basic_annealing,40
sort_reverse_annealing,36
