test,cost
sort_basic_hillclimber,20
sort_reverse_hillclimber,20
sort_short_hillclimber,20
sort_long_hillclimber,20
sort_least-connections_hillclimber,20
sort_most-connections_hillclimber,24
sort_sum-lowest_hillclimber,20
sort_sum-highest_hillclimber,20
sort_basic_hillclimber,26
sort_middle_hillclimber,20
sort_outside_hillclimber,20
sort_intra-quadrant_hillclimber,20
sort_inter-quadrant_hillclimber,20
sort_manhattan_hillclimber,22
sort_x_hillclimber,22
sort_y_hillclimber,22
sort_x-rev_hillclimber,20
