test,cost
random_try_10000,31855
random_try_10000,18755
random_try_0,29535
random_try_1,33705
random_try_2,31603
random_try_3,34939
random_try_4,30971
random_try_5,28871
random_try_6,30103
random_try_7,24379
random_try_8,40935
random_try_9,25983
random_try_0,28417
random_try_1,24155
random_try_2,31205
random_try_3,29519
random_try_4,16911
random_try_5,32169
random_try_6,26525
random_try_7,24453
random_try_8,34619
random_try_9,22371
random_try_10,22691
random_try_11,28269
random_try_12,24079
random_try_13,34241
random_try_14,27135
random_try_15,37237
random_try_16,36615
random_try_17,32449
random_try_18,33341
random_try_19,29243
random_try_20,34859
random_try_21,25961
random_try_22,26467
random_try_23,26531
random_try_24,32819
random_try_25,35223
random_try_0,42005
random_try_1,30691
random_try_2,31263
random_try_3,30253
random_try_4,25309
random_try_5,19863
random_try_6,24033
random_try_7,26515
random_try_8,39045
random_try_9,23457
random_try_10,33475
random_try_11,24995
random_try_12,30087
random_try_13,19387
random_try_14,39697
random_try_15,27095
random_try_16,30143
random_try_17,33685
random_try_18,27715
random_try_19,28365
random_try_20,30945
random_try_21,22641
random_try_22,32241
random_try_23,27047
random_try_24,44825
random_try_0,28805
random_try_1,21665
random_try_2,35749
random_try_3,25939
random_try_4,26789
random_try_5,30089
random_try_6,24965
random_try_7,25843
random_try_8,29541
random_try_9,31965
random_try_10,24149
random_try_11,26829
random_try_12,27061
random_try_13,33049
random_try_14,24983
random_try_15,17205
random_try_16,25955
random_try_17,20241
random_try_18,28913
random_try_19,28927
random_try_20,21151
random_try_21,24147
random_try_22,28287
random_try_23,26231
random_try_24,29227
random_try_25,32431
random_try_26,21761
random_try_27,26455
random_try_28,31809
random_try_29,30431
random_try_30,20825
random_try_31,26669
random_try_32,33663
random_try_33,29475
random_try_34,34561
random_try_35,27727
random_try_36,24973
random_try_37,25713
random_try_38,30337
random_try_39,26781
random_try_40,27789
random_try_41,27379
random_try_42,22297
random_try_43,30379
random_try_44,30685
random_try_45,25851
random_try_46,25369
random_try_47,29489
random_try_48,25531
random_try_49,29209
sort_inter-quadrant_astar,25509
sort_inter-quadrant_astar,27643
