net,wires
"(6,8)","[(12, 10, 0)]"
"(16,22)","[(2, 4, 0), (2, 3, 0)]"
"(14,19)","[(13, 5, 0), (12, 5, 0), (11, 5, 0)]"
"(4,6)","[(15, 11, 0), (14, 11, 0), (13, 11, 0), (12, 11, 0)]"
"(11,5)","[(4, 7, 0), (3, 7, 0), (3, 8, 0), (3, 9, 0)]"
"(23,17)","[(9, 2, 0), (8, 2, 0), (7, 2, 0), (6, 2, 0), (6, 3, 0)]"
"(8,14)","[(12, 9, 0), (13, 9, 0), (13, 8, 0), (13, 7, 0), (13, 6, 0)]"
"(2,1)","[(6, 11, 0), (5, 11, 0), (4, 11, 0), (3, 11, 0), (2, 11, 0)]"
"(23,14)","[(9, 2, 0), (10, 2, 0), (11, 2, 0), (12, 2, 0), (13, 2, 0), (13, 3, 0), (13, 4, 0)]"
"(21,11)","[(1, 3, 0), (1, 4, 0), (1, 5, 0), (2, 5, 0), (3, 5, 0), (4, 5, 0), (4, 6, 0)]"
"(23,12)","[(9, 2, 0), (9, 3, 0), (10, 3, 0), (10, 4, 0), (10, 5, 0), (10, 6, 0), (11, 6, 0)]"
"(7,15)","[(14, 10, 0), (15, 10, 0), (15, 9, 0), (15, 8, 0), (15, 7, 0), (15, 6, 0), (16, 6, 0)]"
"(17,10)","[(6, 4, 0), (5, 4, 0), (5, 5, 0), (5, 6, 0), (5, 7, 0), (5, 7, 1), (4, 7, 1), (3, 7, 1), (2, 7, 1), (1, 7, 1)]"
"(12,25)","[(11, 7, 0), (12, 7, 0), (12, 6, 0), (12, 6, 1), (12, 5, 1), (12, 4, 1), (12, 3, 1), (12, 2, 1), (12, 1, 1)]"
"(20,6)","[(15, 4, 0), (14, 4, 0), (14, 5, 0), (14, 6, 0), (14, 7, 0), (14, 8, 0), (14, 9, 0), (14, 9, 1), (13, 9, 1), (12, 9, 1), (12, 10, 1)]"
"(16,18)","[(2, 4, 0), (3, 4, 0), (4, 4, 0), (4, 4, 1), (5, 4, 1), (6, 4, 1), (7, 4, 1), (8, 4, 1), (9, 4, 1)]"
"(16,9)","[(2, 4, 0), (2, 4, 1), (3, 4, 1), (3, 5, 1), (4, 5, 1), (5, 5, 1), (6, 5, 1), (7, 5, 1), (8, 5, 1), (8, 6, 1), (8, 7, 1), (8, 8, 1)]"
"(11,8)","[(4, 7, 0), (4, 8, 0), (5, 8, 0), (6, 8, 0), (7, 8, 0), (8, 8, 0), (9, 8, 0), (10, 8, 0), (11, 8, 0), (12, 8, 0)]"
"(20,3)","[(15, 4, 0), (15, 5, 0), (15, 5, 1), (14, 5, 1), (13, 5, 1), (13, 6, 1), (13, 7, 1), (12, 7, 1), (11, 7, 1), (10, 7, 1), (10, 8, 1), (10, 9, 1), (10, 10, 1), (10, 11, 1)]"
"(24,5)","[(1, 1, 0), (1, 2, 0), (0, 2, 0), (0, 3, 0), (0, 4, 0), (0, 5, 0), (0, 6, 0), (1, 6, 0), (2, 6, 0), (2, 7, 0), (2, 8, 0), (2, 9, 0), (2, 10, 0)]"
"(24,9)","[(1, 1, 0), (2, 1, 0), (3, 1, 0), (4, 1, 0), (5, 1, 0), (6, 1, 0), (7, 1, 0), (8, 1, 0), (8, 1, 1), (8, 2, 1), (8, 3, 1), (8, 3, 0), (8, 4, 0), (8, 5, 0), (8, 6, 0), (8, 7, 0)]"
"(8,10)","[(12, 9, 0), (11, 9, 0), (10, 9, 0), (9, 9, 0), (8, 9, 0), (7, 9, 0), (6, 9, 0), (5, 9, 0), (4, 9, 0), (4, 9, 1), (3, 9, 1), (2, 9, 1), (1, 9, 1), (1, 8, 1), (1, 8, 0)]"
"(16,6)","[(2, 4, 0), (3, 4, 0), (3, 3, 0), (4, 3, 0), (5, 3, 0), (5, 3, 1), (6, 3, 1), (7, 3, 1), (7, 3, 0), (7, 4, 0), (7, 5, 0), (7, 6, 0), (7, 7, 0), (7, 7, 1), (7, 8, 1), (7, 9, 1), (8, 9, 1), (9, 9, 1), (9, 10, 1), (9, 10, 0), (10, 10, 0), (11, 10, 0)]"
