net,cost
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,20
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,20
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,20
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,20
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,22
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,24
netlist_1,22
netlist_1,24
netlist_1,22
netlist_2,43
netlist_2,41
netlist_2,41
netlist_2,45
netlist_2,45
netlist_2,43
netlist_2,45
netlist_2,43
netlist_2,45
netlist_2,43
netlist_2,45
netlist_2,41
netlist_2,41
netlist_2,43
netlist_2,45
netlist_2,41
netlist_2,45
netlist_2,41
netlist_2,45
netlist_2,43
netlist_2,45
netlist_2,41
netlist_2,45
netlist_2,45
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,41
netlist_2,43
netlist_2,43
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,41
netlist_2,43
netlist_2,41
netlist_2,39
netlist_2,45
netlist_2,41
netlist_2,41
netlist_2,41
netlist_2,45
netlist_2,41
netlist_2,43
netlist_2,41
netlist_2,43
netlist_2,39
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,45
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,45
netlist_2,45
netlist_2,45
netlist_2,45
netlist_2,41
netlist_2,41
netlist_2,45
netlist_2,45
netlist_2,41
netlist_2,45
netlist_2,41
netlist_2,43
netlist_2,41
netlist_2,43
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,41
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,45
netlist_2,45
netlist_2,45
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,41
netlist_2,45
netlist_2,41
netlist_2,43
netlist_2,43
netlist_2,43
netlist_2,41
netlist_3,64
netlist_3,62
netlist_3,62
netlist_3,64
netlist_3,66
netlist_3,60
netlist_3,58
netlist_3,64
netlist_3,60
netlist_3,58
netlist_3,62
netlist_3,60
netlist_3,64
netlist_3,60
netlist_3,60
netlist_3,64
netlist_3,60
netlist_3,58
netlist_3,60
netlist_3,60
netlist_3,58
netlist_3,62
netlist_3,70
netlist_3,58
netlist_3,66
netlist_3,62
netlist_3,60
netlist_3,58
netlist_3,60
netlist_3,60
netlist_3,60
netlist_3,62
netlist_3,64
netlist_3,58
netlist_3,64
netlist_3,64
netlist_3,56
netlist_3,62
netlist_3,62
netlist_3,60
netlist_3,60
netlist_3,60
netlist_3,62
netlist_3,62
netlist_3,58
netlist_3,66
netlist_3,62
netlist_3,60
netlist_3,58
netlist_3,62
netlist_3,62
netlist_3,64
netlist_3,62
netlist_3,62
netlist_3,60
netlist_3,58
netlist_3,60
netlist_3,60
netlist_3,62
netlist_3,60
netlist_3,62
netlist_3,64
netlist_3,70
netlist_3,60
netlist_3,64
netlist_3,68
netlist_3,62
netlist_3,60
netlist_3,66
netlist_3,60
netlist_3,66
netlist_3,62
netlist_3,64
netlist_3,62
netlist_3,58
netlist_3,70
netlist_3,64
netlist_3,66
netlist_3,60
netlist_3,62
netlist_3,58
netlist_3,60
netlist_3,60
netlist_3,66
netlist_3,60
netlist_3,62
netlist_3,64
netlist_3,62
netlist_3,62
netlist_3,60
netlist_3,60
netlist_3,64
netlist_3,60
netlist_3,60
netlist_3,66
netlist_3,72
netlist_3,62
netlist_3,66
netlist_3,66
netlist_3,62
netlist_4,367
netlist_4,359
netlist_4,355
netlist_4,353
netlist_4,345
netlist_4,359
netlist_4,365
netlist_4,345
netlist_4,355
netlist_4,369
netlist_4,361
netlist_4,359
netlist_4,347
netlist_4,353
netlist_4,361
netlist_4,359
netlist_4,347
netlist_4,359
netlist_4,373
netlist_4,357
netlist_4,363
netlist_4,369
netlist_4,363
netlist_4,355
netlist_4,353
netlist_4,347
netlist_4,367
netlist_4,659
netlist_4,367
netlist_4,359
netlist_4,351
netlist_4,367
netlist_4,371
netlist_4,371
netlist_4,363
netlist_4,367
netlist_4,363
netlist_4,361
netlist_4,347
netlist_4,355
netlist_4,361
netlist_4,359
netlist_4,359
netlist_4,345
netlist_4,357
netlist_4,365
netlist_4,353
netlist_4,355
netlist_4,355
netlist_4,359
netlist_4,349
netlist_4,365
netlist_4,355
netlist_4,349
netlist_4,343
netlist_4,369
netlist_4,361
netlist_4,363
netlist_4,357
netlist_4,363
netlist_4,365
netlist_4,355
netlist_4,365
netlist_4,357
netlist_4,355
netlist_4,349
netlist_4,351
netlist_4,357
netlist_4,355
netlist_4,355
netlist_4,361
netlist_4,355
netlist_4,357
netlist_4,357
netlist_4,357
netlist_4,361
netlist_4,363
netlist_4,359
netlist_4,343
netlist_4,359
netlist_4,365
netlist_4,359
netlist_4,357
netlist_4,373
netlist_4,355
netlist_4,357
netlist_4,363
netlist_4,367
netlist_4,357
netlist_4,349
netlist_4,365
netlist_4,357
netlist_4,347
netlist_4,359
netlist_4,357
netlist_4,353
netlist_4,355
netlist_4,365
netlist_4,357
netlist_4,349
netlist_5,443
netlist_5,447
netlist_5,455
netlist_5,447
netlist_5,455
netlist_5,451
netlist_5,439
netlist_5,741
netlist_5,469
netlist_5,429
netlist_5,445
netlist_5,451
netlist_5,453
netlist_5,433
netlist_5,459
netlist_5,451
netlist_5,425
netlist_5,435
netlist_5,457
netlist_5,441
netlist_5,459
netlist_5,453
netlist_5,441
netlist_5,429
netlist_5,435
netlist_5,441
netlist_5,453
netlist_5,449
netlist_5,439
netlist_5,469
netlist_5,447
netlist_5,449
netlist_5,445
netlist_5,453
netlist_5,445
netlist_5,467
netlist_5,439
netlist_5,459
netlist_5,437
netlist_5,429
netlist_5,451
netlist_5,441
netlist_5,445
netlist_5,447
netlist_5,449
netlist_5,441
netlist_5,443
netlist_5,431
netlist_5,453
netlist_5,433
netlist_5,457
netlist_5,439
netlist_5,435
netlist_5,745
netlist_5,447
netlist_5,471
netlist_5,445
netlist_5,455
netlist_5,443
netlist_5,447
netlist_5,439
netlist_5,457
netlist_5,737
netlist_5,457
netlist_5,433
netlist_5,449
netlist_5,441
netlist_5,451
netlist_5,465
netlist_5,455
netlist_5,457
netlist_5,431
netlist_5,451
netlist_5,441
netlist_5,467
netlist_5,443
netlist_5,437
netlist_5,447
netlist_5,459
netlist_5,457
netlist_5,437
netlist_5,425
netlist_5,453
netlist_5,447
netlist_5,449
netlist_5,467
netlist_5,429
netlist_5,437
netlist_5,447
netlist_5,439
netlist_5,443
netlist_5,475
netlist_5,431
netlist_5,747
netlist_5,453
netlist_5,435
netlist_5,441
netlist_5,431
netlist_5,441
netlist_5,443
